Sales Category,Item Name,Modifier,,Avg Price,Quantity,Gross Sales,Discount Amount,Net Sales
Liquor,DISARONNO AMARETTO,,,13,4,48,0,48,
Liquor,HH Stoli Martini,,,8,1,8,0,8,
Liquor,HENDRICKS,,,11.75,5,58,0,58,
Liquor,ANGELS ENVY,,,17,2,34,0,34,
Liquor,El Guapo,,,13,13,169,0,169,
Liquor,SAMBUCA,,,9,1,9,0,9,
Liquor,WOODFORD RSV,,,11.75,6,71,0,71,
Liquor,Old Fashioned,,,8,0,0,0,0,
Liquor,FOUR ROSES YELLOW BBN,,,12,1,12,0,12,
Liquor,BOTANIST,,,10,1,10,0,10,
Liquor,DJ 1942,,,30,4,120,0,120,
Liquor,BOMBAY SAPPHIRE,,,10,1,10,0,10,
Liquor,REDEMPTION RYE,,,14,1,14,14,0,
NA Beverage,,,,6.04,136,822,41.5,780.5,
NA Beverage,Mocktail,,,8,6,48,0,48,
NA Beverage,Panna,,,7,36,252,21,231,
NA Beverage,San Pellegrino,,,7.142857142857143,37,260,7,253,
NA Beverage,Coke (can),,,4.5,14,63,6.75,56.25,
NA Beverage,Fresh Lemonade,,,5,3,15,0,15,
NA Beverage,Ice tea,,,4.5,12,54,0,54,
NA Beverage,Diet Coke (can),,,4.625,17,77.5,4.5,73,
NA Beverage,Ginger Ale,,,4.5,2,9,0,9,
NA Beverage,Club Soda,,,4.5,2,9,0,9,
NA Beverage,Shirley Temple,,,5.5,3,16.5,0,16.5,
NA Beverage,Sprite (can),,,4.5,4,18,2.25,15.75,
Wine,,,,26.05,380.999999,9923.49,1080,8843.49,
Wine,Gls Falanghina-Terredora,,,13,1,13,0,13,
Wine,Gls Cab Sauv-Bull by the Horns,,,15,29,435,15,420,
Wine,Gls Chardonnay-Cutter,,,15,17,255,0,255,
Wine,Glass Baby Amarone-Masi,,,17,14,238,0,238,
Wine,Btl Montepulciano Fantini,,,49,4,196,24.5,171.5,
Wine,Gls Nebbiolo-Prunotto,,,18,9,162,0,162,
Wine,Sample,,,0,22,0,0,0,
Wine,Gls Vermentino-Argiolas,,,13,24,312,0,312,
Wine,Gls Pinot Noir Oregon T.,,,15,22,330,0,330,
Wine,Btl Cutrer Chardonnay,,,54,2,108,0,108,
Wine,Gls Prosecco-Cin Cin,,,12,24,288,132,156,
Wine,Gls Rose-Fattoria Sardi,,,14,7,98,0,98,
Wine,Gls Chianti Clas Peppoli,,,15,20,300,0,300,
Wine,Gls Primitivo San Marzano,,,13,1,13,0,13,
Wine,Btl Cannonau Santadi,,,70,1,70,0,70,
Wine,Gls Pecorino-Zite,,,13,6,78,0,78,
Wine,Gls Pinot Grigio-Zenato,,,13.082709145209146,30.999999,406.99,0,406.99,
Wine,Gls Montepulciano Fantini,,,13,14,182,6.5,175.5,
Wine,Gls Super Tuscan Villa Antinori,,,16,43,688,0,688,
Wine,Gls Sauv Blanc F.Sardi,,,15,5,75,0,75,
Wine,Gls Moscato-Marenco,,,14,3,42,0,42,
Wine,Btl Amarone Riserva Masi,,,198,1,198,0,198,
Wine,Btl Baby Amarone-Masi,,,66,6,396,99,297,
Wine,Btl Brunello Di Montalcino nova,,,194,6,1164,388,776,
Wine,Btl Cab Sauv Bull by the Horns,,,58,6,348,29,319,
Wine,Btl Sauv Blanc F.Sardi,,,60,2,120,30,90,
Wine,Btl Ripassa-Zenato,,,78,5,390,0,390,
Wine,Btl Veuve Clicquot,,,100,1,100,0,100,
Wine,Btl Chianti Clas Rsv Lamole,,,78,1,78,0,78,
Wine,HH Pinot Grigio,,,5,1,5,0,5,
Wine,Btl Chianti Macie RSV,,,72,3,216,36,180,
Wine,Btl Nebbiolo No Name,,,128,1,128,64,64,
Wine,Btl Cab Sauv Bella Union,,,115,1,115,0,115,
Wine,Btl Barolo-Prunotto,,,156,1,156,0,156,
Wine,Btl Super Tuscan-Antinori,,,60,6,360,0,360,
Wine,Btl Primitivo San Marzano,,,49,1,49,0,49,
Wine,Btl Prosecco- Cin Cin,,,42,1,42,0,42,
Wine,Gls Valpolicella-Zenato,,,14,1,14,14,0,
Wine,Gls Mosole Tai,,,13,1,13,13,0,
Wine,CORK FEE,,,35,1,35,0,35,
Wine,Btl Pinot Noir Oregon,,,58,2,116,29,87,
Wine,Btl Le Volte-Ornellaia,,,84,1,84,0,84,
Wine,Btl Nebbiolo-Prunotto,,,74,1,74,0,74,
Wine,Btl Prosecco Rosé-Syltbar,,,49,3,147,0,147,
Wine,Btl Chianti Clas Peppoli,,,54,4,216,50,166,
Wine,Btl Pinot Noir-Harfort Court,,,88,1,88,0,88,
Wine,Btl Vermentino Argiolas,,,52,1,52,0,52,
Wine,Gls Gavi-Villa Sparina,,,15,3,45,0,45,
Wine,vin santo antinori,,,12,1,12,0,12,
Wine,Btl Bruciato GdT Antinori,,,78,1,78,39,39,
Wine,Btl Pinot Noir-Belle Glos,,,78,5,390,39,351,
Wine,Btl Falanghina Terredora,,,48,2,96,72,24,
Wine,HH Baby Amarone,,,9,1,9,0,9,
Wine,Btl Prosecco-Syltbar,,,48,2,96,0,96,
Wine,Gls Morellino Pupille,,,15,1,15,0,15,
Wine,HH Rose,,,6.5,1,6.5,0,6.5,
Wine,HH Chianti,,,7,1,7,0,7,
Wine,HH Pinot Noir,,,7,1,7,0,7,
Wine,Btl Pinot Grigio Zenato,,,42,4,168,0,168,
No Sales Category,,,,0,145,0,0,0,
No Sales Category,**HOLD FOR FIRE**,,,0,13,0,0,0,
No Sales Category,**FIRE**,,,0,50,0,0,0,
No Sales Category,FIRE Second Course,,,0,81,0,0,0,
No Sales Category,_____________,,,0,1,0,0,0,
Beer,,,,7.38,151,1114,87.5,1026.5,
Beer,NA Peroni,,,7,5,35,0,35,
Beer,GRN Room choc Porter,,,8,7,56,8,48,
Beer,Menabrea,,,7,80,560,59.5,500.5,
Beer,High Head GRN Room,,,8,11,88,0,88,
Beer,Southern Swells,,,9,19,171,0,171,
Beer,Raging Blonde,,,8,22,176,0,176,
Beer,HH Manabrea,,,4,7,28,20,8,
Coffee,,,,4.15,20,83,0,83,
Coffee,Americano,,,3,3,9,0,9,
Coffee,Espresso,,,4,10,40,0,40,
Coffee,Hot tea,,,3.5,2,7,0,7,
Coffee,Cappuccino,,,6,2,12,0,12,
Coffee,DBL Espresso,,,5,3,15,0,15,
Retail,,,,20.85,27,563,0,563,
Retail,COFFEE BAG 1KG,,,45,2,90,0,90,
Retail,GENTILE PASTA,,,7,3,21,0,21,
Retail,Kimbo Red,,,8,1,8,0,8,
Retail,MULINO BIANCO,,,6,9,54,0,54,
Retail,Pandoro Zabaione,,,36,2,72,0,72,
Retail,Panettone Limone,,,28,2,56,0,56,
Retail,Pandoro Classico,,,36,2,72,0,72,
Retail,Bag10$,,,10,1,10,0,10,
Retail,Pandoro Cioccolato,,,36,5,180,0,180,
